word,semantic_dissimilarity
Una,
viola,0.773493766784668
al,0.48623597621917725
polo,0.4737316370010376
Nord,0.3177575469017029
Una,0.386186420917511
mattina,0.321719765663147
al,0.25778865814208984
Polo,0.3144165277481079
Nord,0.2250029742717743
l',0.22767508029937744
orso,0.4047015309333801
bianco,0.29746830463409424
fiutò,0.4424854815006256
nell',0.3773180842399597
aria,0.2457106113433838
un,0.21461117267608643
odore,0.2674340009689331
insolito,0.28111016750335693
e,0.2424015998840332
lo,0.2344503402709961
fece,0.38407957553863525
notare,0.32192206382751465
all',0.2623606324195862
Orsa,0.4032924175262451
Maggiore,0.421952486038208
la,0.28332868218421936
minore,0.2856549620628357
era,0.21503198146820068
sua,0.27761340141296387
figlia,0.3418722450733185
Che,0.39842140674591064
sia,0.26816368103027344
arrivata,0.2192707657814026
qualche,0.24383288621902466
spedizione,0.28827929496765137
Furono,0.4906671941280365
invece,0.2506350874900818
gli,0.21664386987686157
orsacchiotti,0.47833189368247986
a,0.31707072257995605
trovare,0.24653667211532593
la,0.2312573790550232
viola,0.26664116978645325
Era,0.2798019051551819
una,0.21277815103530884
piccola,0.19378507137298584
violetta,0.3294239640235901
mammola,0.3557068109512329
e,0.25267618894577026
tremava,0.3626658022403717
di,0.3286600112915039
freddo,0.2843000888824463
ma,0.18098050355911255
continuava,0.3606976270675659
coraggiosamente,0.3257778584957123
a,0.23150265216827393
profumare,0.3534775376319885
l',0.29765915870666504
aria,0.23506513237953186
perché,0.2706751823425293
quello,0.2750370502471924
era,0.256549596786499
il,0.38162535429000854
suo,0.21620392799377441
dovere,0.2496427297592163
Prima,0.3749808073043823
di,0.3265548348426819
sera,0.33779245615005493
si,0.2151033878326416
sparse,0.4204177260398865
per,0.2654218077659607
tutto,0.24718087911605835
il,0.2577189803123474
Polo,0.429393470287323
la,0.2353026270866394
notizia,0.2515074610710144
un,0.19689160585403442
piccolo,0.28174352645874023
strano,0.2958192229270935
essere,0.24225503206253052
profumato,0.27585041522979736
di,0.295587420463562
colore,0.3142979145050049
violetto,0.29989510774612427
era,0.21699970960617065
apparso,0.32737863063812256
nel,0.19738644361495972
deserto,0.30394965410232544
di,0.24789154529571533
ghiaccio,0.2368386685848236
si,0.18736088275909424
reggeva,0.30174797773361206
su,0.30704838037490845
una,0.3206590414047241
sola,0.2821694612503052
zampa,0.4404410421848297
e,0.2209833860397339
non,0.170302152633667
si,0.22488725185394287
muoveva,0.2567886412143707
A,0.39099860191345215
vedere,0.27204644680023193
la,0.23446571826934814
viola,0.3204226493835449
vennero,0.41239333152770996
foche,0.3241795599460602
e,0.22395628690719604
trichechi,0.3667899966239929
vennero,0.3963817358016968
dalla,0.2756332755088806
Siberia,0.4262246787548065
le,0.1764512062072754
renne,0.27727144956588745
dall',0.329181432723999
America,0.43146950006484985
i,0.1885768175125122
buoi,0.3329680562019348
muschiati,0.311718612909317
e,0.20456254482269287
più,0.2900000810623169
di,0.3569129705429077
lontano,0.3809243440628052
ancora,0.24128776788711548
volpi,0.3310924470424652
bianche,0.1883285641670227
lupi,0.2557692527770996
e,0.16033810377120972
gazze,0.31531262397766113
marine,0.2466738224029541
Tutti,0.3184868097305298
ammiravano,0.3974166214466095
il,0.22212278842926025
fiore,0.24174410104751587
sconosciuto,0.29783445596694946
il,0.33591824769973755
suo,0.27855145931243896
stelo,0.4394564926624298
tremante,0.3569723069667816
tutti,0.2205047607421875
aspiravano,0.2910293638706207
il,0.16222071647644043
suo,0.21490240097045898
profumo,0.23876649141311646
ma,0.17967236042022705
ne,0.31911855936050415
restava,0.2898099720478058
sempre,0.22685551643371582
abbastanza,0.3831702470779419
per,0.22544103860855103
quelli,0.27958840131759644
che,0.20673125982284546
arrivavano,0.2573833763599396
ultimi,0.34502434730529785
ad,0.28635215759277344
annusare,0.3057249188423157
ne,0.2807212471961975
restava,0.30467942357063293
sempre,0.20069503784179688
come,0.34992432594299316
prima,0.3017694354057312
Per,0.3396974802017212
mandare,0.3459603190422058
tanto,0.2427384853363037
profumo,0.2804849147796631
disse,0.4099440574645996
una,0.23418772220611572
foca,0.3387834131717682
deve,0.24558424949645996
avere,0.18203914165496826
una,0.19601142406463623
riserva,0.3137490749359131
sotto,0.2128061056137085
il,0.2808089256286621
ghiaccio,0.26224565505981445
Io,0.29870128631591797
l',0.3430274724960327
avevo,0.32468247413635254
detto,0.31145215034484863
subito,0.2538289725780487
esclamò,0.4683259427547455
l',0.2459028959274292
orso,0.43620261549949646
bianco,0.3388638496398926
che,0.25322115421295166
c',0.31786978244781494
era,0.22058361768722534
sotto,0.3335139751434326
qualcosa,0.30942341685295105
Non,0.28905075788497925
aveva,0.2661757469177246
detto,0.31183815002441406
proprio,0.27333688735961914
così,0.24359631538391113
ma,0.21724754571914673
nessuno,0.23899322748184204
se,0.34211409091949463
ne,0.33937180042266846
ricordava,0.2642655372619629
Un,0.2824898958206177
gabbiano,0.3133358061313629
spedito,0.3664245009422302
al,0.294491708278656
Sud,0.3664413094520569
per,0.22696447372436523
raccogliere,0.3003172278404236
informazioni,0.1928463876247406
tornò,0.28229254484176636
con,0.2498706579208374
la,0.29684126377105713
notizia,0.3108595609664917
che,0.23563873767852783
il,0.22041213512420654
piccolo,0.2641785144805908
essere,0.29753273725509644
profumato,0.3402782678604126
si,0.26945239305496216
chiamava,0.3438507318496704
viola,0.2638084888458252
e,0.22484081983566284
che,0.2180883288383484
in,0.25165003538131714
certi,0.34099119901657104
paesi,0.2988956570625305
laggiù,0.37563034892082214
ce,0.3135155439376831
n',0.38930875062942505
erano,0.20388048887252808
milioni,0.28807374835014343
Ne,0.4029697775840759
sappiamo,0.31571298837661743
quanto,0.373565137386322
prima,0.35332170128822327
osservò,0.4777277410030365
la,0.23823857307434082
foca,0.3013961613178253
Com',0.47939532995224
è,0.4162116050720215
che,0.31004953384399414
proprio,0.2886970043182373
questa,0.2355043888092041
viola,0.3267329931259155
è,0.24560946226119995
arrivata,0.2890336513519287
proprio,0.2422228455543518
qui,0.23737365007400513
Vi,0.3579792380332947
dirò,0.4200335741043091
tutto,0.3014664053916931
il,0.3301408290863037
mio,0.2457360029220581
pensiero,0.22851639986038208
mi,0.205069899559021
sento,0.25316113233566284
alquanto,0.3907841444015503
perplessa,0.35443437099456787
Come,0.33032357692718506
ha,0.2823532819747925
detto,0.3232063055038452
che,0.249994158744812
si,0.22360587120056152
sente,0.2807239592075348
domandò,0.4233793318271637
l',0.2635573744773865
orso,0.4394337236881256
bianco,0.3549930453300476
a,0.2639971971511841
sua,0.22737061977386475
moglie,0.28738290071487427
Perplessa,0.3456369638442993
Cioè,0.31902337074279785
non,0.17042839527130127
sa,0.26967906951904297
che,0.38199132680892944
pesci,0.48000168800354004
pigliare,0.3373982012271881
Ecco,0.2837502658367157
esclamò,0.45294857025146484
l',0.27715837955474854
orso,0.43625199794769287
bianco,0.3376310169696808
proprio,0.27887070178985596
quello,0.3331705331802368
che,0.27826929092407227
penso,0.3096562623977661
anch',0.30210864543914795
io,0.22607678174972534
Quella,0.3704109787940979
notte,0.30503398180007935
corse,0.4032830595970154
per,0.31056010723114014
tutto,0.27931320667266846
il,0.2958955764770508
Polo,0.46914243698120117
un,0.209999680519104
pauroso,0.4460064470767975
scricchiolio,0.3612808287143707
I,0.26315945386886597
ghiacci,0.2977692186832428
eterni,0.3468044698238373
tremavano,0.3156608045101166
come,0.2507481575012207
vetri,0.3865966796875
e,0.2162877321243286
