word,surprisal
fatto,5.67790412902832
"è.	
Il",32.62640190124512
fatto,1.7076483964920044
è,0.5063055157661438
che,0.13356554508209229
la,2.498791456222534
paperetta,17.077383756637573
non,2.8278732299804688
si,3.3139052391052246
era,5.167171478271484
ancora,2.3251941204071045
decisa,5.506124019622803
a,1.7312777042388916
tuffarsi,9.162047311663628
nello,4.2620415687561035
stagno.,5.40401828289032
Così,5.6510162353515625
"l’anatra,",17.960480362176895
sul,6.4555206298828125
bordo,4.1810197830200195
dello,3.8480944633483887
specchio,2.926516532897949
"d’acqua,",1.7487395089119673
le,4.369712829589844
"spiegò,",15.489668607711792
con,3.4330451488494873
"pazienza,",7.478758811950684
i,4.140640735626221
vantaggi,5.396773338317871
del,2.1713223457336426
nuoto.,6.0948649644851685
Ma,4.669076919555664
non,2.790098190307617
le,4.040034294128418
riuscì,5.453280448913574
affatto,5.080857753753662
di,3.379923105239868
convincerla,6.058233797550201
"e,",5.884404897689819
vedendo,5.1419830322265625
che,1.505926251411438
con,6.190309524536133
le,2.4893150329589844
buone,5.6155009269714355
non,3.4095940589904785
otteneva,7.025694027543068
"nulla,",3.3983243703842163
decise,2.331495761871338
senz’altro,10.66091500222683
di,0.10695134848356247
spingerla,8.668543949723244
in,3.045654058456421
acqua.,3.2261669039726257
Senza,7.148293972015381
alcun,4.7069783210754395
successo!,11.620124816894531
A,21.10118341445923
quel,3.2001566886901855
"punto,",1.2435057200491428
l’anatra,4.386180842499016
"indispettita,",16.06583747267723
chiamò,7.324983276426792
in,3.6086575984954834
aiuto,1.5490976572036743
il,1.467900276184082
gatto.,6.578928112983704
Il,3.745365619659424
gatto,4.538323879241943
spinse,8.191152572631836
"l’anatra,",4.1780957374721766
che,2.0659677982330322
spingeva,15.924283981323242
la,2.1932766437530518
"paperetta,",4.549728587269783
che,2.695582389831543
nemmeno,7.972367286682129
si,3.418311834335327
mosse.,7.4168020486831665
Chiamarono,55.35216498374939
allora,4.750338554382324
il,2.9504125118255615
"cane,",6.631248593330383
che,3.1627798080444336
spinse,8.724470138549805
il,1.7323267459869385
"gatto,",6.593658208847046
che,3.073284149169922
spingeva,12.554125785827637
"l’anatra,",11.607521578669548
che,3.0630199909210205
spingeva,13.681130409240723
la,2.4209682941436768
paperetta,8.819410558789968
che,5.415508270263672
sembrava,6.253279685974121
incollata,15.181998252868652
a,4.285859107971191
terra.,5.918895840644836
,3.1969685554504395
"Infine,",52.11526834964752
arrivò,9.918144226074219
anche,5.133066177368164
il,2.7790989875793457
tacchino,16.72929859161377
che,4.359552383422852
spinse,8.415846824645996
il,1.7279716730117798
"cane,",6.727624535560608
che,2.867921829223633
spingeva,11.146656513214111
il,2.6152796745300293
"gatto,",7.881163239479065
che,2.7905187606811523
spingeva,11.953010559082031
"l’anatra,",13.844112899154425
che,2.819620370864868
spingeva,11.223278522491455
la,3.0617103576660156
"paperetta,",10.245205029845238
che,2.8506078720092773
non,2.4061295986175537
si,2.202718734741211
spostava,9.171408861875534
